,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
0,6,119.64076325766487,1.0,0.6997686931008003,56.384312034626944,10.0,0.857868274427236,57.383306107133464,1.5,0.8914731822498462,156.20291571306026,1.5,0.5710081432937061,93.25816645034465,1.5,0.8475661241967458,2.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Policy 0,dikesnet
1,52,297.5628529857885,1.5,0.9508557240101997,164.2881652530863,1.0,0.5008070186307757,258.4021036961775,1.5,0.9329051615194783,293.9701881657921,10.0,0.30821601232050694,123.32975345485195,1.0,0.9939580625150202,1.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Policy 0,dikesnet
2,49,288.28594306778007,1.5,0.7445641719432223,294.59156552546307,10.0,0.6126435090002619,259.52733904970967,1.5,0.5789477916778143,155.20866975375284,1.5,0.23236782695944028,189.35133397964916,1.0,0.49409555493024454,3.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Policy 0,dikesnet
3,128,39.83287091145268,1.5,0.8622390462867671,233.26065550299018,1.0,0.9474962685397599,258.31435552266856,1.5,0.9888228834663785,306.51857346510997,1.5,0.27739277295279957,49.81574817241912,1.0,0.5312834891480768,2.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Policy 0,dikesnet
4,79,266.9160540866598,1.5,0.9697029759732635,38.862185759207414,1.0,0.15580937680678916,224.22572101859532,1.0,0.791240332066111,345.6370897660556,1.0,0.42677777644834514,135.3660402636392,1.0,0.8274237124238991,3.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Policy 0,dikesnet
5,24,125.07929117691677,1.5,0.892327150658363,217.25474767486102,1.0,0.5428599514442782,138.4670634280331,1.5,0.9566363603718046,93.09918925680982,1.0,0.8781644307668905,234.15043043394394,1.0,0.4704961081566515,4.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Policy 0,dikesnet
6,115,160.7576237780273,10.0,0.5930465035132843,267.568176958315,1.5,0.952578482053565,211.80412841659358,10.0,0.1073126891635485,257.9375093846112,1.0,0.6667352360919654,308.0178901962102,10.0,0.7780765415502375,1.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Policy 0,dikesnet
7,25,37.84944887338761,1.0,0.05546317594859986,165.5959049754087,1.0,0.41482884334706677,327.6083545345944,10.0,0.11350666424216911,347.7870270847294,10.0,0.5300508734537297,326.45258081843633,10.0,0.15284650507642786,1.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Policy 0,dikesnet
8,122,185.463437185411,1.5,0.13760271278166453,314.54202833333517,1.5,0.05965967227602078,335.02063560987364,1.5,0.9567924584717714,218.07225236966894,10.0,0.45638616177040947,146.22168569457637,10.0,0.9936146694798629,3.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Policy 0,dikesnet
9,20,240.98289324498683,1.5,0.005809450964130754,143.73292698411663,10.0,0.49579220961714854,73.06216427908399,1.5,0.6278183116670387,315.85930412248814,10.0,0.3786061314550131,109.00197002067458,1.0,0.8702215203724368,2.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Policy 0,dikesnet
10,15,243.62310723271196,10.0,0.553126369698899,315.1570342175924,1.5,0.34031802165148944,235.77514372013184,1.0,0.8220894304645971,130.82875651731493,1.0,0.9761279989763136,158.88335877226896,10.0,0.06458153623312213,2.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Policy 0,dikesnet
11,111,279.96608911656347,10.0,0.10553584122445275,264.48250523763664,1.0,0.088209964865073,292.4614087680287,1.0,0.39029383727408035,254.88336791484846,1.0,0.48771823676704035,161.88245855435017,10.0,0.07417355803627333,4.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,Policy 0,dikesnet
12,38,38.19812862303285,1.5,0.4359209632846178,235.29336715427578,1.0,0.37347253916561984,81.31805803893181,1.5,0.32066618355686305,58.71381542043986,1.0,0.02053492437480629,82.68218272531755,1.0,0.6029466944672781,4.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,Policy 0,dikesnet
13,108,32.20981078662334,1.5,0.5934692430680666,37.93344580704614,1.0,0.01933184305372463,134.7098733979632,1.0,0.00485460487739728,124.5573447600793,1.5,0.45147719449652585,264.2543279348602,1.0,0.6494214416332816,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,Policy 0,dikesnet
14,117,270.53117646704766,1.5,0.6015281634256413,300.991256878532,1.0,0.1370182828996474,205.5109107462302,10.0,0.9023931295674255,32.44231358391926,1.0,0.5739469455808289,37.79300230590502,10.0,0.2124268064206645,3.5,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,Policy 0,dikesnet
15,77,36.08257925537841,1.5,0.3481824906491659,56.93206585108748,1.0,0.5722234977184432,77.87835450049505,1.5,0.05247588498777486,105.89524856807776,10.0,0.8642392249168275,327.66993258651615,1.5,0.18037750990005372,2.5,4.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,Policy 0,dikesnet
16,57,213.28741247905782,1.5,0.9935950825772849,250.35234798002415,1.5,0.6626719974282167,126.97276915809807,1.5,0.020234294045430874,195.27570482317512,1.0,0.3170115376319573,241.85676257631215,10.0,0.36438833001004095,2.5,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,Policy 0,dikesnet
17,121,292.9255963599842,1.0,0.7647526578518316,151.87186541126312,1.0,0.6077135247690519,302.58126403219507,10.0,0.629612748236956,177.88445957041134,1.5,0.6495585826155899,297.7158906501059,10.0,0.30277928607621896,3.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,Policy 0,dikesnet
18,4,230.86951094101465,1.5,0.7848373757207808,186.324645543776,10.0,0.3960108754420726,318.31573723830587,10.0,0.5347111348315547,74.48562156454966,1.5,0.17285316829484887,345.7388180020769,1.0,0.2849807582004386,1.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,Policy 0,dikesnet
19,94,92.30480244520399,1.5,0.7187590951287167,58.737736496855995,1.5,0.14489241638369,54.86584886526777,1.0,0.8167439897793737,208.4339821489951,10.0,0.537883209858674,294.1409053867665,1.5,0.8081375757049317,3.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,Policy 0,dikesnet
20,106,78.36728176394327,10.0,0.7550260575561085,318.61831039200007,1.0,0.37244828426134047,184.96970896500204,1.0,0.787986725007965,63.01723297152128,1.0,0.08562209893825182,203.45016889315798,1.0,0.7641267336792409,3.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,Policy 0,dikesnet
