,EWS_DaysToThreat,rfr_0_t0,rfr_0_t1,rfr_0_t2,rfr_1_t0,rfr_1_t1,rfr_1_t2,rfr_2_t0,rfr_2_t1,rfr_2_t2,rfr_3_t0,rfr_3_t1,rfr_3_t2,rfr_4_t0,rfr_4_t1,rfr_4_t2,A1_DikeIncrease_t0,A1_DikeIncrease_t1,A1_DikeIncrease_t2,A2_DikeIncrease_t0,A2_DikeIncrease_t1,A2_DikeIncrease_t2,A3_DikeIncrease_t0,A3_DikeIncrease_t1,A3_DikeIncrease_t2,A4_DikeIncrease_t0,A4_DikeIncrease_t1,A4_DikeIncrease_t2,A5_DikeIncrease_t0,A5_DikeIncrease_t1,A5_DikeIncrease_t2,A1_Total_Costs,A1_Expected_Number_of_Deaths,A2_Total_Costs,A2_Expected_Number_of_Deaths,A3_Total_Costs,A3_Expected_Number_of_Deaths,A4_Total_Costs,A4_Expected_Number_of_Deaths,A5_Total_Costs,A5_Expected_Number_of_Deaths,RfR_Total_Costs,Expected_Evacuation_Costs
0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,6,6,1,0,2,8,0,2,9,2,10,0,0,8,2,183927748.79206374,0.0,154974596.32606363,0.006475828936782601,84710414.3527773,0.00929325227519904,29133320.954562303,0.0,84546876.76859967,0.0,716300000.0,805.6463993699934
1,4,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,2,1,7,6,7,3,8,2,1,8,0,3,5,0,10,147588218.69105962,0.0,229784558.25432444,0.0,94694851.07929048,0.0,27169299.885837637,0.0,105495938.72046074,0.0,916200000.0,0.0
2,2,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,5,5,4,2,0,2,6,7,4,5,4,6,0,7,117818559.7239252,0.0,102336429.85235605,0.0,105512323.27655408,0.0010217742011307072,35474804.544331506,0.0,94338185.77629063,0.0,756700000.0,131.72409774904102
3,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,5,5,7,2,0,5,1,4,2,6,4,7,8,8,8,213168125.67203605,0.0,111665924.38586013,0.0039133784310083665,78766008.99853995,0.006690206355004961,44404044.1980267,0.0,194837981.1842336,0.0,869900000.0,0.0
4,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,5,5,0,9,3,5,9,2,0,1,0,1,9,4,5,117818559.7239252,0.0,243641603.23841816,0.0,70604378.4785609,0.0,14360825.119575543,0.00022298202861509718,155042854.42712933,0.0,881900000.0,36.023194305271424
5,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,3,4,3,0,5,0,2,8,1,1,4,10,7,1,6,148719583.67997402,0.0,71034207.7926791,0.008245093616166155,90450100.52412578,0.0,40460669.02125585,0.0,128563448.37726545,0.0,1081800000.0,0.0
6,3,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,3,5,2,2,6,9,9,2,6,7,10,2,0,76431543.68310125,0.0,164233797.24580663,0.0,148299583.7463159,0.0,39453266.42170095,0.0,96767921.20487039,0.0,1420800000.0,0.0
7,3,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,5,4,1,5,6,0,5,1,5,2,9,9,4,8,10,154813143.38643056,0.0,137537273.74406102,0.0,88041933.47495925,0.0,53779964.255007744,3.984795625010369e-05,175879835.578004,0.0,629400000.0,37.92670317890377
8,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,7,0,2,7,7,1,1,3,10,8,7,2,5,139382316.28490794,0.0,135488006.55139533,0.010173816134443006,86462899.21101597,0.0,55932134.93652601,0.0,128711732.55923322,0.0,825700000.0,0.0
9,4,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,10,7,8,1,3,2,9,9,6,1,0,9,6,0,6,325536058.536425,0.0,148476768.79404527,0.0010149462987312152,153044873.59901068,0.0,29185906.03942509,0.00019873625235993054,89542814.51096618,0.0,454300000.0,798.8021184949013
