,EWS_DaysToThreat,rfr_0_t0,rfr_0_t1,rfr_0_t2,rfr_1_t0,rfr_1_t1,rfr_1_t2,rfr_2_t0,rfr_2_t1,rfr_2_t2,rfr_3_t0,rfr_3_t1,rfr_3_t2,rfr_4_t0,rfr_4_t1,rfr_4_t2,A1_DikeIncrease_t0,A1_DikeIncrease_t1,A1_DikeIncrease_t2,A2_DikeIncrease_t0,A2_DikeIncrease_t1,A2_DikeIncrease_t2,A3_DikeIncrease_t0,A3_DikeIncrease_t1,A3_DikeIncrease_t2,A4_DikeIncrease_t0,A4_DikeIncrease_t1,A4_DikeIncrease_t2,A5_DikeIncrease_t0,A5_DikeIncrease_t1,A5_DikeIncrease_t2,A1_Total_Costs,A1_Expected_Number_of_Deaths,A2_Total_Costs,A2_Expected_Number_of_Deaths,A3_Total_Costs,A3_Expected_Number_of_Deaths,A4_Total_Costs,A4_Expected_Number_of_Deaths,A5_Total_Costs,A5_Expected_Number_of_Deaths,RfR_Total_Costs,Expected_Evacuation_Costs
0,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,6,8,9,9,2,3,10,5,7,2,4,10,6,9,5,290535517.9934121,0.0,217165537.81716153,0.0,141161697.32498336,0.0,43849143.696426205,0.00010281926182054396,165963121.08604664,0.0,279200000.0,92.73414703069595
1,3,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,2,7,8,7,1,5,0,7,4,7,7,8,1,2,5,213370980.74332875,0.0,199433505.39254242,0.0,73781578.5504241,0.0016040875172358897,58089433.45301629,0.0,104951184.45058408,0.0014604450014172213,569600000.0,1165.9693702283191
2,2,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,2,5,7,7,8,9,10,1,6,5,3,2,7,2,94979303.71425684,0.0,296166769.1048204,0.0,138872164.31596622,0.0,38360931.261942774,0.0,130559907.79570758,0.0031268198239705136,1109400000.0,1126.6002757781548
3,2,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,8,5,6,2,10,10,2,0,5,3,6,7,0,148109603.73393282,0.0,199502185.3342409,0.0,149494730.55215088,0.0,22900390.705444835,0.00016735014015680505,94338185.77629063,0.0,779400000.0,128.16537627701217
4,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,10,4,3,0,0,2,4,8,4,7,10,5,5,0,7,229756067.42625666,0.0,58840614.55081765,0.006732801754469736,108567341.22112194,0.0,59647183.028169096,0.0,88954800.96600011,0.0,954500000.0,514.1298283667821
5,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,6,1,1,2,9,3,0,0,9,6,6,9,6,9,7,142079239.3148653,0.0,209911206.05527338,0.0019100780534586314,46562773.29409384,0.012934466650721933,55138751.84553993,0.0,178405963.2569629,0.0,1287600000.0,0.0
6,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,4,4,1,9,2,2,0,3,0,2,9,1,0,6,7,145356630.06113905,0.0,209894617.06344622,0.0,57069600.81769627,0.026067784616503182,35884525.605625466,0.0,98043164.86925909,0.0014647457482872394,508200000.0,999.8784813825275
7,2,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,10,10,1,0,5,5,0,4,1,4,7,0,6,3,228194731.38458645,0.0,102888271.33162268,0.0005674300765921235,60031921.43603267,0.0,33217918.813610718,0.0,77404471.7832109,0.0,945200000.0,170.0079512108229
8,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,8,4,3,0,2,7,1,4,2,1,7,9,3,111601194.33864394,0.0,108083458.32956028,0.0,86275973.01149984,9.039786730020664e-05,25814602.496021114,0.0,163349896.1636874,0.0,793300000.0,0.0
9,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,10,0,3,7,4,3,8,7,8,2,4,10,5,5,4,154287485.51802808,0.0,210058510.34432134,0.0,143779322.698358,0.0,43151949.284144565,0.000365619862262374,126768760.18278985,0.0,400400000.0,0.0
10,4,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,10,8,4,1,9,1,1,7,8,4,2,0,6,7,8,289479760.6153042,0.0,188612858.04040614,0.000531085267856672,107481263.16051325,0.0007906625973472862,18081997.288140487,0.0,169347710.3000788,0.0,569600000.0,482.21029169469193
11,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,5,4,8,0,9,1,0,8,0,6,8,3,2,8,10,213814071.73006636,0.0,148900216.57924786,0.002983554740694584,40432973.27242987,0.002440274759665812,45824253.768154666,0.0,160819438.0667352,0.0,1465000000.0,314.5479249069856
12,4,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,4,0,4,10,0,10,4,8,3,10,6,4,1,7,82177854.37813279,0.0,167200725.85303292,0.0,140842010.99556792,0.0,50480261.756332815,0.0,114294065.73175862,0.0,1029800000.0,0.0
13,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,4,10,6,0,5,0,0,3,9,9,5,4,5,3,6,253822708.99971867,0.0,64211171.27048123,0.0019760063199661766,69113893.35624374,0.0,48639723.720887154,0.0,125274415.78297171,0.0,759800000.0,155.03408650302947
14,4,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,7,10,5,5,7,10,1,9,3,8,10,1,7,117657018.40774402,0.0,281003560.5198696,0.0,126098376.2327064,0.0,53691110.507792965,0.0,157167070.7481749,0.0,461900000.0,0.0
15,4,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,2,7,1,6,3,0,7,1,3,7,5,0,3,9,1,154370052.39969298,0.0,124573879.8096008,0.0,91563991.34816906,0.0,28265438.623856276,0.0,126569405.42332402,0.0,914500000.0,0.0
16,3,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,6,7,0,0,4,0,1,4,8,8,4,6,0,0,4,144075745.84278923,0.0,63995304.743656985,0.0014736690549974664,94913304.36335294,0.0008394222386748626,47631017.579257786,0.0,58708296.2710353,0.0033807579412911916,1012800000.0,2837.5162037825494
