,EWS_DaysToThreat,rfr_0_t0,rfr_0_t1,rfr_0_t2,rfr_1_t0,rfr_1_t1,rfr_1_t2,rfr_2_t0,rfr_2_t1,rfr_2_t2,rfr_3_t0,rfr_3_t1,rfr_3_t2,rfr_4_t0,rfr_4_t1,rfr_4_t2,A1_DikeIncrease_t0,A1_DikeIncrease_t1,A1_DikeIncrease_t2,A2_DikeIncrease_t0,A2_DikeIncrease_t1,A2_DikeIncrease_t2,A3_DikeIncrease_t0,A3_DikeIncrease_t1,A3_DikeIncrease_t2,A4_DikeIncrease_t0,A4_DikeIncrease_t1,A4_DikeIncrease_t2,A5_DikeIncrease_t0,A5_DikeIncrease_t1,A5_DikeIncrease_t2,A1_Total_Costs,A1_Expected_Number_of_Deaths,A2_Total_Costs,A2_Expected_Number_of_Deaths,A3_Total_Costs,A3_Expected_Number_of_Deaths,A4_Total_Costs,A4_Expected_Number_of_Deaths,A5_Total_Costs,A5_Expected_Number_of_Deaths,RfR_Total_Costs,Expected_Evacuation_Costs
0,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,4,5,8,1,9,2,4,1,9,6,2,2,4,2,7,212824889.79699445,0.0,198556589.96150094,0.0010404813635224918,97660658.73015888,0.0,31149466.780654177,0.0,118986995.69629535,0.0,423600000.0,482.85038494779826
1,2,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,6,8,3,3,8,9,3,3,0,4,10,4,0,6,1,221751691.28132862,0.0,267994460.3780673,3.9813844132189044e-06,50962397.12067895,0.0,48530288.78386812,0.0,92517472.05242458,0.003613493979612455,577200000.0,1342.8616338210625
2,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,8,0,4,5,4,0,10,8,10,8,5,3,7,8,2,138903029.16673058,0.0,122529913.13437451,0.0,177342090.51164103,0.0,43674957.111584835,0.0,151158990.2949036,0.0,793300000.0,0.0
3,2,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,6,2,5,8,3,1,1,8,7,9,10,8,4,2,6,176911057.71090558,0.0,199221128.9946756,0.0,118966999.39753869,0.004555483410256237,76227587.92096189,0.0,114191624.4309709,0.0,550900000.0,600.0471353036783
4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,3,8,6,3,8,7,5,2,0,0,6,8,0,154287485.51802808,0.0,244269057.77453464,0.0,129731137.0372932,0.0,10963898.939410519,0.00030845778546163187,99562157.03396389,0.0,302400000.0,324.56951460743585
5,2,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,3,2,0,4,0,7,5,0,3,6,0,5,5,9,0,83497824.69174261,0.0,137220471.0599543,0.0,57423135.62296812,0.0,26127534.665142894,0.0,99507174.19214153,0.0,1477000000.0,0.0
6,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,8,6,8,6,8,4,2,0,0,3,4,8,66507014.9338145,0.0,297785804.5209677,0.0,119273923.67858675,0.0,8887837.692927243,0.0004009090920754355,128582889.2329827,0.0,504600000.0,57.14592766427754
7,2,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,3,6,4,3,5,2,3,1,4,9,8,7,0,2,109448217.91765803,0.0,183246849.65307316,0.0,72060610.87106211,0.0,55381825.833826095,0.0,79084435.94406682,0.0,729100000.0,0.0
8,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,3,3,4,7,7,2,3,0,0,7,4,7,2,2,4,147603451.26209262,0.0,234607981.1335356,0.0,33542713.391142447,0.007575693222700649,47166472.12561255,0.0,95251828.74083912,0.0,812900000.0,238.69140949236441
9,2,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,2,1,0,10,4,2,2,0,1,7,8,7,10,2,9,72222705.9376919,0.0,242728757.1236442,0.0,43878096.290305056,0.0,58249768.45404523,0.0,176258666.07324398,0.0,872000000.0,0.0
