,EWS_DaysToThreat,rfr_0_t0,rfr_0_t1,rfr_0_t2,rfr_1_t0,rfr_1_t1,rfr_1_t2,rfr_2_t0,rfr_2_t1,rfr_2_t2,rfr_3_t0,rfr_3_t1,rfr_3_t2,rfr_4_t0,rfr_4_t1,rfr_4_t2,A1_DikeIncrease_t0,A1_DikeIncrease_t1,A1_DikeIncrease_t2,A2_DikeIncrease_t0,A2_DikeIncrease_t1,A2_DikeIncrease_t2,A3_DikeIncrease_t0,A3_DikeIncrease_t1,A3_DikeIncrease_t2,A4_DikeIncrease_t0,A4_DikeIncrease_t1,A4_DikeIncrease_t2,A5_DikeIncrease_t0,A5_DikeIncrease_t1,A5_DikeIncrease_t2,A1_Total_Costs,A1_Expected_Number_of_Deaths,A2_Total_Costs,A2_Expected_Number_of_Deaths,A3_Total_Costs,A3_Expected_Number_of_Deaths,A4_Total_Costs,A4_Expected_Number_of_Deaths,A5_Total_Costs,A5_Expected_Number_of_Deaths,RfR_Total_Costs,Expected_Evacuation_Costs
0,3,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,2,3,1,6,7,4,2,0,1,10,0,2,0,10,6,121162359.81197041,0.0,238321732.97205263,0.0,43878096.290305056,0.0,30644404.427416287,0.0,136159349.83578512,0.0028925093585287784,1215000000.0,1667.7249171630592
1,4,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,10,0,2,9,5,8,8,2,6,0,1,5,6,8,4,147239991.00478667,0.0,300475370.2269877,0.0,110226828.70645653,0.0,20624806.4770622,0.00021986004067213585,152986715.2617145,0.0,575500000.0,278.50115388497613
2,0,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,2,3,2,1,1,0,4,5,2,1,8,6,2,3,7,126556908.17246997,0.0,79386305.13811272,0.0018634668914130795,89339760.93348372,0.0,40906936.993950136,0.0005768192180717362,112317596.24522522,0.0,721500000.0,0.0
3,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,9,0,8,2,0,2,9,7,9,4,0,3,10,4,6,188504836.94538477,0.0,91889765.38768697,0.0014222402498321304,156432693.6680084,0.0,19364628.02360858,0.0,169345951.67604598,0.0,408000000.0,104.07820409128087
4,2,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,2,7,0,8,6,4,3,6,2,0,4,0,0,5,5,110130504.5881955,0.0,253097955.05712575,0.0,88922169.59838012,0.0,11645072.208961543,0.0001864977428877242,93040506.32540557,0.0021473353015670827,843600000.0,944.1715377484297
5,2,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,6,0,0,5,8,2,9,0,1,4,9,4,4,2,9,60717312.84309486,0.0,221828181.00667572,0.0,68076065.3536397,0.0,45455011.03648635,0.0,129899952.5446189,0.0,862300000.0,0.0
6,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,6,0,0,2,8,9,1,10,2,7,0,6,4,7,2,60717312.84309486,0.0,257292547.90778053,0.0019287225182768517,101107878.70316738,0.006568584702471872,30185557.33409556,0.0,123837869.82670248,0.0,656500000.0,0.0
7,3,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,5,2,9,9,0,7,3,8,1,8,66507014.9338145,0.0,69012239.61022317,0.0013173375466441178,124367196.27459592,0.0,25352457.52192288,2.8630087584173257e-05,146798577.38068843,0.0,1015900000.0,674.1918802078933
8,4,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,7,1,2,2,7,3,6,7,2,9,3,3,66507014.9338145,0.0,177725050.68724,0.0,91510513.5490641,0.0,41381773.35645638,0.0,139607005.7544109,0.0,1149100000.0,0.0
9,2,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,5,0,5,5,5,2,3,0,9,4,7,8,7,10,53972506.18695759,0.0,212823364.2288833,0.0,55392119.79701552,0.0024583164501006376,53336093.514085196,0.0,202587684.9487483,0.0,848900000.0,314.5274130265374
